"t_source"	"t_target"	"t_year"	"t_total"	"t1_flow"	"t_flow_back"
ABW	BRA	2006	120453784	109458824	10994960
ABW	BRA	2007	159933442	149810160	10123282
ABW	BRA	2008	213877165	201697168	12179997
ABW	BRA	2009	126310532	115163480	11147052
ABW	BRA	2011	136125771	126267464	9858307.0
ABW	CHN	2014	130660244	111994912	18665332
ABW	COL	2008	121146936	100144136	21002800
ABW	COL	2011	132892038	113892624	18999414
ABW	CRI	2006	153526702.875	152631808	894894.875
ABW	CRI	2007	139180943.25	137326864	1854079.25
ABW	CRI	2008	269634133.25	267162368	2471765.25
ABW	FRA	2008	171276726.5	167100928	4175798.5
ABW	GBR	2008	136311888	108156208	28155680
ABW	NLD	2005	133158364	60202780	72955584
ABW	NLD	2009	138158238	24032742	114125496
ABW	PRY	2000	106615080.02999878	106614776	304.029998779297
ABW	SGP	2012	110842344.8125	110443912	398432.8125
ABW	USA	1990	114550196.375	675812.375	113874384
ABW	USA	1991	193011900	60103588	132908312
ABW	USA	1992	289388208	125236320	164151888
ABW	USA	1993	498267488	321176832	177090656
ABW	USA	1994	498499440	319395104	179104336
ABW	USA	1995	484360000	282869408	201490592
ABW	USA	1996	598097792	378806176	219291616
ABW	USA	1997	617940640	394905472	223035168
ABW	USA	1998	575341664	301066656	274275008
ABW	USA	1999	759004256	439376704	319627552
ABW	USA	2000	1259917504	990140672	269776832
ABW	USA	2001	1086362624	766968576	319394048
ABW	USA	2002	842536480	535446432	307090048
ABW	USA	2003	905942880	619454208	286488672
ABW	USA	2004	1282332368	1016987200	265345168
ABW	USA	2005	1981117472	1664293888	316823584
ABW	USA	2006	1894695744	1588286464	306409280
ABW	USA	2007	1838404448	1534300160	304104288
ABW	USA	2008	2104127360	1773111552	331015808
ABW	USA	2009	1188898880	840464576	348434304
ABW	USA	2010	359462626	13267170	346195456
ABW	USA	2011	2417498336	2035698176	381800160
ABW	USA	2012	902334400	523386144	378948256
ABW	USA	2013	440042450	26777298	413265152
ABW	USA	2014	468192468	36648244	431544224
AFG	AZE	2013	144566654.8125	92814.8125	144473840
AFG	BLR	2012	109782561.75	940897.75	108841664
AFG	CHN	2009	151618062.625	882638.625	150735424
AFG	CHN	2010	126944200.5	2339584.5	124604616
AFG	CHN	2011	160669186	2723458.0	157945728
AFG	CHN	2012	326708469.25	3280981.25	323427488
AFG	CHN	2013	237592856.5	6119368.5	231473488
AFG	CHN	2014	273680859	10561131	263119728
AFG	DEU	2006	151362104.375	1672744.375	149689360
AFG	DEU	2007	105087617.25	3140617.25	101947000
AFG	DEU	2008	235034266.75	1927434.75	233106832
AFG	DEU	2009	222168097	3447041.0	218721056
AFG	DEU	2010	261613106	18987650	242625456
AFG	DEU	2011	267685577	8781289.0	258904288
AFG	DEU	2012	266536328	11271528	255264800
AFG	DEU	2013	160152044	10544940	149607104
AFG	DEU	2014	120325908	18238828	102087080
AFG	IND	2003	105174494	21435478	83739016
AFG	IND	2004	116445522	23681218	92764304
AFG	IND	2005	120320256	30562784	89757472
AFG	IND	2006	124805272	22002528	102802744
AFG	IND	2007	172835908	45253108	127582800
AFG	IND	2008	284167288	67399560	216767728
AFG	IND	2009	408797776	77482192	331315584
AFG	IND	2010	373700568	93569784	280130784
AFG	IND	2011	419259832	74837624	344422208
AFG	IND	2012	428301240	94098008	334203232
AFG	IND	2013	467954240	133746080	334208160
AFG	IND	2014	443340208	147156944	296183264
AFG	KAZ	2006	107206101.375	484277.375	106721824
AFG	KAZ	2007	107839520	2005800.0	105833720
AFG	KAZ	2008	372883996	3621916.0	369262080
AFG	KAZ	2009	289187136.25	772928.25	288414208
AFG	KAZ	2010	258746494.125	797758.125	257948736
AFG	KAZ	2011	231595000.75	2392344.75	229202656
AFG	KAZ	2012	223869725.46875	375661.46875	223494064
AFG	KAZ	2013	176744793.25	1800057.25	174944736
AFG	KAZ	2014	224917148.75	1945276.75	222971872
AFG	KEN	2010	104007479.484375	138479.484375	103869000
AFG	KEN	2011	105022895.2109375	73591.2109375	104949304
AFG	KEN	2012	104075501.52978516	7013.52978515625	104068488
AFG	KEN	2013	127883392	35624.0	127847768
AFG	NLD	2011	101421099.875	1547307.875	99873792
AFG	PAK	2000	114423610	25800698	88622912
AFG	PAK	2001	127166180	18076868	109089312
AFG	PAK	2002	184181902	20387998	163793904
AFG	PAK	2003	294337256	19085608	275251648
AFG	PAK	2004	306072018	26775218	279296800
AFG	PAK	2005	673618844	29257692	644361152
AFG	PAK	2006	822685156	35732260	786952896
AFG	PAK	2007	938827120	40776752	898050368
AFG	PAK	2008	1166610912	50670048	1115940864
AFG	PAK	2009	1035201592	76617528	958584064
AFG	PAK	2010	1325476960	98101984	1227374976
AFG	PAK	2011	1431688224	105962912	1325725312
AFG	PAK	2012	1513925544	112049320	1401876224
AFG	PAK	2013	1610965680	119231536	1491734144
AFG	PAK	2014	1603975672	118713976	1485261696
AFG	RUS	1992	170191484	122102560	48088924
AFG	RUS	1993	489592980	452994688	36598292
AFG	RUS	2008	111335041.5	8092473.5	103242568
AFG	RUS	2009	192672820	9265652.0	183407168
AFG	RUS	2010	396324529	12610801	383713728
AFG	RUS	2011	555604710	17534054	538070656
AFG	RUS	2012	660549241.5	7156089.5	653393152
AFG	RUS	2013	453104887	9134103.0	443970784
AFG	RUS	2014	644848386	7837954.0	637010432
AFG	THA	2009	100532440.40625	172256.40625	100360184
AFG	THA	2010	103876006.609375	38726.609375	103837280
AFG	THA	2011	130473331.50976562	20379.509765625	130452952
AFG	THA	2013	127338112.03125	330216.03125	127007896
AFG	TKM	2006	100058302.40625	272998.40625	99785304
AFG	TKM	2007	111021705.65625	325201.65625	110696504
AFG	TKM	2008	158819023.375	447119.375	158371904
AFG	TKM	2009	130658974.90625	494486.90625	130164488
AFG	TKM	2010	172486071.0625	573319.0625	171912752
AFG	TKM	2011	211193545.875	635849.875	210557696
AFG	TKM	2012	234319924	719268.0	233600656
AFG	TKM	2013	238117731.9375	813731.9375	237304000
AFG	TKM	2014	232855871.1875	736447.1875	232119424
AFG	TUR	2009	167985357.5	2984557.5	165000800
AFG	TUR	2010	188243337.5	3299001.5	184944336
AFG	TUR	2011	192460477.75	2992493.75	189467984
AFG	TUR	2012	205973312.5	4090192.5	201883120
AFG	TUR	2013	167447134	6857678.0	160589456
AFG	TUR	2014	134485423	10020495	124464928
AFG	USA	2004	108449504	13763736	94685768
AFG	USA	2005	195381280	37234864	158146416
AFG	USA	2006	274488106	24891706	249596400
AFG	USA	2007	307044924	38382492	268662432
AFG	USA	2008	335501908	47270644	288231264
AFG	USA	2009	1147077192	79790536	1067286656
AFG	USA	2010	1588720984	56434008	1532286976
AFG	USA	2011	2022335023	16314671	2006020352
AFG	USA	2012	1082811060	23274036	1059537024
AFG	USA	2013	1020971900	29113596	991858304
AFG	USA	2014	573480316	43765852	529714464
AFG	USSR	1977	130481864	66501844	63980020
AFG	USSR	1978	184020340	58837236	125183104
AFG	USSR	1979	295299632	120434016	174865616
AFG	USSR	1980	304807200	179808224	124998976
AFG	USSR	1981	407517200	225878240	181638960
AGO	ARG	2008	127555375.74267578	5143.74267578125	127550232
AGO	ARG	2009	115619166.33984375	5054.33984375	115614112
AGO	ARG	2010	100920029.99023438	32589.990234375	100887440
AGO	ARG	2011	150668938.0703125	40634.0703125	150628304
AGO	ARG	2012	137211975.41015625	4103.41015625	137207872
AGO	BEL	1982	101523472	81688184	19835288
AGO	BEL	1987	120867818	91115928	29751890
AGO	BEL	1988	140969760	119573568	21396192
AGO	BEL	1989	195889728	165487296	30402432
AGO	BEL	1990	225021812	181777200	43244612
AGO	BEL	1991	105329496	64328984	41000512
AGO	BEL	1992	224884084	168865616	56018468
AGO	BEL	1994	113261306	87907488	25353818
AGO	BEL	1995	139929168	101024424	38904744
AGO	BEL	1996	205233480	154497808	50735672
AGO	BEL	1997	232310104	171056688	61253416
AGO	BEL	1998	274198900	210253936	63944964
AGO	BEL	1999	379668972	327795200	51873772
AGO	BEL	2000	480407600	412023712	68383888
AGO	BEL	2001	473861000	387721696	86139304
AGO	BEL	2002	435621216	331569792	104051424
AGO	BEL	2003	241965640	149715712	92249928
AGO	BEL	2004	152554632	65220448	87334184
AGO	BEL	2005	385990784	285705248	100285536
AGO	BEL	2006	338948928	194486272	144462656
AGO	BEL	2007	336181632	142064192	194117440
AGO	BEL	2008	437005976	110192280	326813696
AGO	BEL	2009	481455328	160969536	320485792
AGO	BEL	2010	322594016	59254288	263339728
AGO	BEL	2011	394651200	156191904	238459296
AGO	BEL	2012	690202880	378303168	311899712
AGO	BEL	2013	649761248	345977920	303783328
AGO	BEL	2014	766820320	445269152	321551168
AGO	BHS	1983	173003636.5	168148720	4854916.5
AGO	BRA	1980	104486808	53419400	51067408
AGO	BRA	1981	147284816	88734368	58550448
AGO	BRA	1982	119691800	65941316	53750484
AGO	BRA	1983	199457952	165691248	33766704
AGO	BRA	1984	186097040	111684688	74412352
AGO	BRA	1985	245767944	135210080	110557864
