"iso"	"label_ext"	"continent"	"region"	"long"	"lat"	"date_debut"	"date_fin"
"2SICIL"	Kingdom of the two Sicilies, Kingdom of Naples	EUROP	STHEUR				
ABW	Aruba	AMERI	CARIB	-69.9667	12.5		
ADEN	Aden	ASIA	MIDEST				
AFG	Afghanistan	ASIA	CTRASI	65	33		
AGO	Angola	AFRI	STHAFR	18.5	-12.5		
ALASKA	Alaska	AMERI	NORAM				
ALB	Albania	EUROP	STHEUR	20	41		
ALSLOR	Alsace-Lorraine	EUROP	NWEUR				
AND	Andorra	EUROP	STHEUR	1.6	42.5		
ANT	Netherlands Antilles	AMERI	CARIB	-68.75	12.25		
AOFAEF	French Western and Equatorial Africa	AFRI	STHAFR				
ARE	United Arab Emirates	ASIA	MIDEST	54	24		
ARG	Argentina	AMERI	STHAM	-64	-34		
ARM	Armenia	ASIA	MIDEST	45	40		
ASM	American Samoa	OCEA	OCEA	-170	-14.3333		
ATG	Antigua and Barbuda	AMERI	CARIB	-61.8	17.05		
AUS	Australia	OCEA	OCEA	133	-27		
AUSNSW	New-South Wales	OCEA	OCEA				
AUSQUE	Queensland	OCEA	OCEA				
AUSSTH	Southern Australia	OCEA	OCEA				
AUSTAS	Tasmania	OCEA	OCEA				
AUSVIC	Victoria	OCEA	OCEA				
AUSWST	Western Australia	OCEA	OCEA				
AUT	Austria	EUROP	CTREUR	13.3333	47.3333		
AUTHUN	Austria-Hungary	EUROP	CTREUR				
AZE	Azerbaijan	ASIA	CTRASI	47.5	40.5		
AZORES	Azores	EUROP	STHEUR				
BARBAR	Barbary States	AFRI	NORAFR				
BDI	Burundi	AFRI	STHAFR	30	-3.5		
BEL	Belgium	EUROP	NWEUR	4	50.8333		
BEN	Benin	AFRI	STHAFR	2.25	9.5		
BFA	Burkina Faso	AFRI	STHAFR	-2	13		
BGD	Bangladesh	ASIA	STHASI	90	24		
BGR	Bulgaria	EUROP	ESTEUR	25	43		
BHR	Bahrain	ASIA	STHASI	50.55	26		
BHS	Bahamas	AMERI	CARIB	-76	24.25		
BIH	Bosnia and Herzegovina	EUROP	STHEUR	18	44		
BLM		AMERI	CARIB				
BLR	Belarus	EUROP	ESTEUR	28	53		
BLZ	Belize	AMERI	CTRAM	-88.75	17.25		
BMU	Bermuda	AMERI	CARIB	-64.75	32.3333		
BOL	Bolivia, Plurinational State of	AMERI	STHAM	-65	-17		
BRA	Brazil	AMERI	STHAM	-55	-10		
BRB	Barbados	AMERI	CARIB	-59.5333	13.1667		
BREMEN	Bremen	EUROP	NWEUR				
BRN	Brunei Darussalam	ASIA	STHASI	114.6667	4.5		
BTN	Bhutan	ASIA	STHASI	90.5	27.5		
BWA	Botswana	AFRI	STHAFR	24	-22		
CAF	Central African Republic	AFRI	STHAFR	21	7		
CAN	Canada	AMERI	NORAM	-95	60		
CANARY	Canary islands	AFRI	NORAFR				
CANPRINCED	Prince-Edward island	AMERI	NORAM				
CANQBCONT	Quebec-Ontario	AMERI	NORAM				
CCK	Cocos (Keeling) Islands	OCEA	OCEA	96.8333	-12.5		
CHE	Switzerland	EUROP	NWEUR	8	47		
CHISL	Channel islands	EUROP	NWEUR				
CHL	Chile	AMERI	STHAM	-71	-30		
CHN	China	ASIA	ESTASI	105	35		
CIV	Ivory Coast	AFRI	STHAFR	-5	8		
CMR	Cameroon	AFRI	STHAFR	12	6		
COD	Congo, the Democratic Republic of the	AFRI	STHAFR	25	0		
COG	Congo	AFRI	STHAFR	15	-1		
COK	Cook Islands	OCEA	OCEA	-159.7667	-21.2333		
COL	Colombia	AMERI	STHAM	-72	4		
COM	Comoros	AFRI	STHAFR	44.25	-12.1667		
CPV	Cape Verde	AFRI	STHAFR	-24	16		
CRI	Costa Rica	AMERI	CTRAM	-84	10		
CUB	Cuba	AMERI	CARIB	-80	21.5		
CUW	Curaçao	AMERI	CARIB	-69	12.183333		
CXR	Christmas Island	OCEA	OCEA	105.6667	-10.5		
CYM	Cayman Islands	AMERI	CARIB	-80.5	19.5		
CYP	Cyprus	EUROP	STHEUR	33	35		
CZE	Czech Republic	EUROP	CTREUR	15.5	49.75		
CZSK	Czechoslovakia	EUROP	CTREUR	14.416667	50.083333		
DANTZ	Dantzig	EUROP	ESTEUR				
DEU	Germany	EUROP	NWEUR	9	51		
DEUAFRI	German Africa	AFRI	STHAFR				
DEUNEWGUI	German New Guinea	ASIA	STHASI				
DEUWAF	German West Africa	AFRI	STHAFR				
DJI	Djibouti	AFRI	STHAFR	43	11.5		
DMA	Dominica	AMERI	CARIB	-61.3333	15.4167		
DNK	Denmark	EUROP	SCANDI	10	56		
DOM	Dominican Republic	AMERI	CARIB	-70.6667	19		
DZA	Algeria	AFRI	NORAFR	3	28		
ECU	Ecuador	AMERI	STHAM	-77.5	-2		
EDEU	German Democratic Republic	EUROP	NWEUR	13.404954	52.520008		
EGY	Egypt	AFRI	NORAFR	30	27		
ERI	Eritrea	AFRI	STHAFR	39	15		
ESH	Western Sahara	AFRI	NORAFR	-13	24.5		
ESP	Spain	EUROP	STHEUR	-4	40		
EST	Estonia	EUROP	ESTEUR	26	59		
ETH	Ethiopia	AFRI	STHAFR	38	8		
FEDMYS	Federated Malay States	ASIA	STHASI				
FIN	Finland	EUROP	SCANDI	26	64		
FIUME	Fiume	EUROP	STHEUR				
FJI	Fiji	OCEA	OCEA	175	-18		
FLK	Falkland Islands (Malvinas)	AMERI	STHAM	-59	-51.75		
FRA	France	EUROP	NWEUR	2	46		
FRAAEF	French Equatorial Africa	AFRI	STHAFR				
FRAAFRI	French Africa, French possessions in Africa	AFRI	STHAFR				
FRAAOF	French Western Africa	AFRI	STHAFR				
FRAEAFRI	French Eastern Africa	AFRI	STHAFR				
FRAIND	French East Indies	ASIA	STHASI				
FRAOCEA	French Oceania	OCEA	OCEA				
FRAWINDIES	French West Indies	AMERI	CARIB				
FRO	Faroe Islands	EUROP	SCANDI	-7	62		
FSM	Micronesia, Federated States of	OCEA	OCEA	158.25	6.9167		
GAB	Gabon	AFRI	STHAFR	11.75	-1		
GBR	United Kingdom	EUROP	NWEUR	-2	54		
GBRAFRI	British Africa	AFRI	STHAFR				
GBRBORNEO	British Borneo, North Borneo	ASIA	STHASI				
GBRIND	British India	ASIA	STHASI	77	20		
GBRMEDI	British possessions in the Mediterranean	EUROP	STHEUR				
GBRPAPUA	British Papua / British New Guinea	ASIA	STHASI				
GBRSOM	British Somaliland	AFRI	STHAFR				
GBRWAFRI	British West Africa	AFRI	STHAFR				
GBRWINDIES	British West Indies	AMERI	CARIB				
GEL		OCEA	OCEA				
GEO	Georgia	ASIA	MIDEST	43.5	42		
GHA	Ghana	AFRI	STHAFR	-2	8		
GIB	Gibraltar	EUROP	STHEUR	-5.3667	36.1833		
GIN	Guinea	AFRI	STHAFR	-10	11		
GLP	Guadeloupe	AMERI	CARIB	-61.5833	16.25		
GMB	Gambia	AFRI	STHAFR	-16.5667	13.4667		
GNB	Guinea-Bissau	AFRI	STHAFR	-15	12		
GNQ	Equatorial Guinea	AFRI	STHAFR	10	2		
GRC	Greece	EUROP	STHEUR	22	39		
GRD	Grenada	AMERI	CTRAM	-61.6667	12.1167		
GRL	Greenland	EUROP	SCANDI	-40	72		
GTM	Guatemala	AMERI	CTRAM	-90.25	15.5		
GUF	French Guiana	AMERI	STHAM	-53	4		
GUM	Guam	OCEA	OCEA	144.7833	13.4667		
GUY	Guyana	AMERI	STHAM	-59	5		
HAMBG	Hamburg	EUROP	NWEUR				
HANOV	Hanover	EUROP	NWEUR				
HANS	Hanseatic cities, Hanseatic League	EUROP	NWEUR				
HKG	Hong Kong	ASIA	ESTASI	114.1667	22.25		
HND	Honduras	AMERI	CTRAM	-86.5	15		
HRV	Croatia	EUROP	STHEUR	15.5	45.1667		
HTI	Haiti	AMERI	CARIB	-72.4167	19		
HUN	Hungary	EUROP	CTREUR	20	47		
HWI	Hawaï	OCEA	OCEA	-157.8575	21.3075		
IDN	Indonesia	ASIA	STHASI	120	-5		
IND	India	ASIA	STHASI	77	20		
INDOCHI	French Indochina	ASIA	STHASI				
IRL	Ireland	EUROP	NWEUR	-8	53		
IRN	Iran, Islamic Republic of	ASIA	MIDEST	53	32		
IRQ	Iraq	ASIA	MIDEST	44	33		
ISL	Iceland	EUROP	SCANDI	-18	65		
ISR	Israel	ASIA	MIDEST	34.75	31.5		
ITA	Italy	EUROP	STHEUR	12.8333	42.8333		
