"iso"	"t_year"	"gdp"	"population"
ABW	1960	""	54.2080001831055
ABW	1961	""	55.435001373291
ABW	1962	""	56.226001739502
ABW	1963	""	56.6969985961914
ABW	1964	""	57.0289993286133
ABW	1965	""	57.3600006103516
ABW	1966	""	57.7120018005371
ABW	1967	""	58.048999786377
ABW	1968	""	58.3849983215332
ABW	1969	""	58.7239990234375
ABW	1970	""	59.064998626709
ABW	1971	""	59.4379997253418
ABW	1972	""	59.8489990234375
ABW	1973	""	60.2389984130859
ABW	1974	""	60.5250015258789
ABW	1975	""	60.6549987792969
ABW	1976	""	60.5890007019043
ABW	1977	""	60.3660011291504
ABW	1978	""	60.1059989929199
ABW	1979	""	59.9780006408691
ABW	1980	""	60.0960006713867
ABW	1981	""	60.5670013427734
ABW	1982	""	61.3440017700195
ABW	1983	""	62.2039985656738
ABW	1984	""	62.8310012817383
ABW	1985	""	63.0279998779297
ABW	1986	""	62.6440010070801
ABW	1987	""	61.8349990844727
ABW	1988	""	61.0769996643066
ABW	1989	""	61.0320014953613
ABW	1990	""	62.1479988098145
ABW	1991	""	64.6230010986328
ABW	1992	""	68.2350006103516
ABW	1993	""	72.4980010986328
ABW	1994	869167424	76.6999969482422
ABW	1995	836866560	80.3259963989258
ABW	1996	884450432	83.1949996948242
ABW	1997	935705280	85.4469985961914
ABW	1998	1005586240	87.2760009765625
ABW	1999	1064787904	89.0039978027344
ABW	2000	1238222848	90.8580017089844
ABW	2001	1333920000	92.8939971923828
ABW	2002	1295143168	94.995002746582
ABW	2003	1237990656	97.0149993896484
ABW	2004	1217041664	98.7419967651367
ABW	2005	1282048384	100.03099822998
ABW	2006	1316040064	100.830001831055
ABW	2007	1311265024	101.218002319336
ABW	2008	1518731776	101.342002868652
ABW	2009	1604112640	101.416000366211
ABW	2010	1597046144	101.59700012207
ABW	2011	1613069696	101.935997009277
ABW	2012	""	102.392997741699
ABW	2013	""	102.920997619629
ABW	2014	""	103.44100189209
AFG	1945	""	7823.29150390625
AFG	1946	""	7888.70654296875
AFG	1947	""	7954.1220703125
AFG	1948	""	8019.53759765625
AFG	1949	""	8084.95263671875
AFG	1950	""	8150.3681640625
AFG	1951	""	8284.47265625
AFG	1952	""	8425.3330078125
AFG	1953	""	8573.216796875
AFG	1954	""	8728.408203125
AFG	1955	""	8891.208984375
AFG	1956	99107184	9061.9384765625
AFG	1957	101785760	9240.93359375
AFG	1958	104464328	9428.5556640625
AFG	1959	107589328	9624.6064453125
AFG	1960	192063584	8994.79296875
AFG	1961	196031840	9164.9453125
AFG	1962	195238192	9343.7724609375
AFG	1963	268254112	9531.5546875
AFG	1964	285714432	9728.64453125
AFG	1965	359523968	9935.3583984375
AFG	1966	500000224	10148.8408203125
AFG	1967	605919040	10368.599609375
AFG	1968	572222720	10599.7900390625
AFG	1969	587037568	10849.509765625
AFG	1970	728703360	11121.0966796875
AFG	1971	752439296	11412.8212890625
AFG	1972	638844416	11716.896484375
AFG	1973	707496384	12022.513671875
AFG	1974	922051840	12315.552734375
AFG	1975	1069830272	12582.9541015625
AFG	1976	1422192128	12831.361328125
AFG	1977	1693063424	13056.4990234375
AFG	1978	1720966528	13222.546875
AFG	1979	1746097024	13283.279296875
AFG	1980	1567015296	13211.412109375
AFG	1981	1731187456	12996.9228515625
AFG	1982	2585170432	12667.0009765625
AFG	1983	2632896512	12279.0947265625
AFG	1984	1972741504	11912.509765625
AFG	1985	1950452736	11630.498046875
AFG	1986	1624993280	11438.94921875
AFG	1987	1101413632	11337.931640625
AFG	1988	944245888	11375.767578125
AFG	1989	1589049728	11608.3505859375
AFG	1990	""	12067.5703125
AFG	1991	""	12789.3740234375
AFG	1992	""	13745.6298828125
AFG	1993	""	14824.37109375
AFG	1994	""	15869.966796875
AFG	1995	""	16772.521484375
AFG	1996	""	17481.80078125
AFG	1997	""	18034.130859375
AFG	1998	""	18511.48046875
AFG	1999	""	19038.419921875
AFG	2000	""	19701.939453125
AFG	2001	1710008832	20531.16015625
AFG	2002	2754842112	21487.078125
AFG	2003	2807356416	22507.3671875
AFG	2004	2886813696	23499.849609375
AFG	2005	3451279104	24399.947265625
AFG	2006	3835713024	25183.615234375
AFG	2007	4919676928	25877.544921875
AFG	2008	5543301632	26528.740234375
AFG	2009	8015606784	27207.291015625
AFG	2010	10313962496	27962.20703125
AFG	2011	11190998016	28809.16796875
AFG	2012	13000596480	29726.802734375
AFG	2013	12822858752	30682.5
AFG	2014	12185101312	31627.505859375
AGO	1950	""	4117.6171875
AGO	1951	""	4173.09521484375
AGO	1952	""	4232.09521484375
AGO	1953	""	4293.83984375
AGO	1954	""	4357.52685546875
AGO	1955	""	4423.22314453125
AGO	1956	""	4490.9921875
AGO	1957	""	4561.36083984375
AGO	1958	""	4635.884765625
AGO	1959	""	4714.67578125
AGO	1960	""	5270.84423828125
AGO	1961	""	5367.287109375
AGO	1962	""	5465.90478515625
AGO	1963	""	5565.80810546875
AGO	1964	""	5665.701171875
AGO	1965	""	5765.02490234375
AGO	1966	""	5863.56787109375
AGO	1967	""	5962.8310546875
AGO	1968	""	6066.09423828125
AGO	1969	""	6177.703125
AGO	1970	""	6300.96923828125
AGO	1971	""	6437.64501953125
AGO	1972	""	6587.64697265625
AGO	1973	""	6750.21484375
AGO	1974	""	6923.7490234375
AGO	1975	1832167424	7107.333984375
AGO	1976	2139836544	7299.5078125
AGO	1977	2387907072	7501.31982421875
AGO	1978	2432612352	7717.13916015625
AGO	1979	2443631104	7952.8818359375
AGO	1980	2562234624	8211.9501953125
AGO	1981	3164747776	8497.9501953125
AGO	1982	3986807040	8807.5107421875
AGO	1983	4425303040	9128.6552734375
AGO	1984	3092933888	9444.91796875
AGO	1985	3412317952	9745.208984375
AGO	1986	3505127936	10023.7001953125
AGO	1987	3725411328	10285.7119140625
AGO	1988	3757820928	10544.904296875
AGO	1989	6128071168	10820.9921875
AGO	1990	5647205888	11127.8701171875
AGO	1991	8232771584	11472.1728515625
AGO	1992	5892259840	11848.970703125
AGO	1993	6742345728	12246.7861328125
AGO	1994	6809298944	12648.4833984375
AGO	1995	3147799808	13042.666015625
AGO	1996	4824467456	13424.8134765625
AGO	1997	4672722432	13801.8681640625
AGO	1998	3891904000	14187.7099609375
AGO	1999	3802865408	14601.9833984375
AGO	2000	6034058752	15058.6376953125
AGO	2001	6207481344	15562.791015625
AGO	2002	8338516992	16109.6962890625
AGO	2003	8690334720	16691.39453125
AGO	2004	10727438336	17295.5
AGO	2005	15528485888	17912.94140625
AGO	2006	22712037376	18541.466796875
AGO	2007	30210678784	19183.90625
AGO	2008	45789986816	19842.251953125
AGO	2009	48459997184	20520.103515625
AGO	2010	53373444096	21219.953125
AGO	2011	64983011328	21942.296875
AGO	2012	73052585984	22685.6328125
AGO	2013	79901376512	23448.201171875
AGO	2014	77045047296	24227.5234375
ALB	1945	""	1138.0
ALB	1946	""	1154.0
ALB	1947	""	1175.0
ALB	1948	""	1192.0
ALB	1949	17987934	1209.0
ALB	1950	30614300	1227.15600585938
ALB	1951	37142872	1254.11901855469
ALB	1952	39785732	1282.69702148438
ALB	1953	39821448	1314.60803222656
