"tail"	"head"	"export_value"	"import_value"
2	9	2037	0
2	12	14351	19116
2	57	13033	0
2	79	7854	0
3	6	304	0
3	12	17197	0
3	22	10589	0
3	35	72387	0
3	51	76989	91691
3	59	9497	0
3	70	1716	0
4	1	3599	0
4	3	15533	0
4	7	36169	32959
4	15	9044	0
4	17	48573	40019
4	18	25688	20259
4	20	2916	0
4	23	13274	0
4	24	14600	45643
4	26	996567	1143072
4	27	7555	0
4	32	90867	31549
4	33	806	0
4	35	19990	0
4	36	8926	0
4	37	10773	0
4	38	115397	216031
4	43	253	0
4	50	44835	41195
4	51	3071	0
4	53	15952	0
4	60	15047	0
4	61	5449	0
4	62	154	0
4	64	6253	0
4	67	35286	25786
4	68	7741	0
4	69	21348	0
4	71	29524	22120
4	72	159097	130434
4	75	1421	0
4	76	5957	0
4	77	96667	28793
5	8	502	0
5	74	4491	1061
7	1	12994	0
7	2	10198	0
7	10	5043	0
7	15	1433	0
7	16	1000	0
7	17	6275	0
7	18	26894	30876
7	19	2158	0
7	20	3662	0
7	23	9726	0
7	24	101487	523392
7	26	398266	798074
7	27	22260	0
7	28	1586	0
7	30	2394	0
7	32	9062	0
7	34	8709	0
7	36	9288	0
7	37	15385	0
7	40	1170	0
7	41	26821	0
7	44	1518	0
7	46	1811	0
7	47	1594	0
7	49	4899	0
7	50	474054	587725
7	51	3881	0
7	53	21765	0
7	60	15503	0
7	61	13031	0
7	63	2901	0
7	64	1651	0
7	66	17130	0
7	67	8289	0
7	68	21759	0
7	69	42064	40454
7	70	1500	0
7	71	23430	43088
7	72	31829	61176
7	75	6130	0
7	76	12629	0
7	77	130180	109144
7	80	4057	0
9	5	517	0
10	2	172885	13898
10	5	231	0
10	8	193	0
10	9	15609	0
10	12	61905	0
10	14	13297	0
10	19	8281	0
10	21	1998	0
10	22	358	0
10	29	2646	0
10	30	1234	0
10	48	48218	0
10	56	3415	0
10	57	30576	0
10	58	15743	0
10	68	7416	0
10	74	936	0
10	78	140405	169859
10	79	26605	0
10	80	8052	0
11	3	13925	0
11	5	614	0
11	8	210	0
11	12	5490	0
11	14	3704	0
11	19	1350	0
11	40	2684	0
11	51	4312	0
11	52	334	0
11	56	948	0
11	58	1788	0
11	74	1126	0
11	80	2133	0
12	9	4114	0
12	57	890	0
12	58	11265	0
12	79	1482	0
13	1	11709	0
13	2	9033	0
13	3	90620	0
13	5	312	0
13	6	5217	0
13	7	30181	0
13	8	493	0
13	9	1296	0
13	11	107506	0
13	12	12624	0
13	14	2537	0
13	15	2420	0
13	16	2418	0
13	18	28148	0
13	19	3203	0
13	20	14342	0
13	21	3066	0
13	22	1813	0
13	23	12848	0
13	27	21471	0
13	29	1398	0
13	30	1180	0
13	31	1210975	271849
13	34	3515	0
13	35	32817	0
13	40	8014	0
13	42	9232	0
13	44	1843	0
13	45	39617	0
13	47	3506	0
13	49	7077	0
13	50	77687	0
13	51	12810	0
13	53	13802	0
13	55	13953	0
13	58	6238	0
13	59	19865	0
13	60	7180	0
13	61	11485	0
13	63	869	0
13	65	167	0
13	68	23166	0
13	69	59911	0
13	70	7923	0
13	71	23543	0
13	73	44387	0
13	74	1494	0
13	75	2539	0
13	76	4800	0
13	77	114947	45013
13	79	2057	0
14	9	1596	0
14	12	4574	0
14	21	1735	0
14	29	3643	0
14	30	1356	0
14	52	482	0
14	56	1812	0
14	58	8267	0
