Name;Age;Class;Ticket;Joined;Job;Fate;Sex
ABBING, Mr Anthony;42;3rd Class Passenger;"5547
£7 11s";Southampton;Blacksmith  ;Dead;M
ABBOTT, Mr Ernest Owen;21;Victualling Crew;;Southampton;Lounge Pantry Steward  ;Dead;M
ABBOTT, Mr Eugene Joseph;13;3rd Class Passenger;"CA2673
£20 5s";Southampton;Scholar  ;Dead;M
ABBOTT, Mr Rossmore Edward;16;3rd Class Passenger;"CA2673
£20 5s";Southampton;Jeweller  ;Dead;M
ABBOTT, Mrs Rhoda Mary 'Rosa';39;3rd Class Passenger;"CA2673
£20 5s";Southampton; ;Survivor;F
ABELSETH, Miss Karen Marie;16;3rd Class Passenger;"348125
£7 13s";Southampton; ;Survivor;F
ABELSETH, Mr Olaus JÃ¸rgensen;25;3rd Class Passenger;"348122
£7 13s";Southampton;Farmer  ;Survivor;M
ABELSON, Mr Samuel;30;2nd Class Passenger;"3381
£24";Cherbourg; ;Dead;M
ABELSON, Mrs Hannah;28;2nd Class Passenger;"3381
£24";Cherbourg; ;Survivor;F
ABRAHAMSSON, Mr Abraham August Johannes;20;3rd Class Passenger;"3101284
£7 18s 6d";Southampton; ;Survivor;M
ABRAMS, Mr William Thomas;34;Engineering Crew;;Southampton;Fireman  ;Dead;M
MAHMŪD HUSAYN IBRĀHĪM, Mr Husayn;27;3rd Class Passenger;"2699
£18 15s 9d";Cherbourg; ;Survivor;M
ADAMS, Mr John;27;3rd Class Passenger;"341826
£8 1s";Southampton; ;Dead;M
ADAMS, Mr Robert John;26;Engineering Crew;;Southampton;Fireman  ;Dead;M
AHIER, Mr Percy Snowden;20;Victualling Crew;;Southampton;Saloon Steward  ;Dead;M
AHLIN, Mrs Johanna Persdotter;40;3rd Class Passenger;"7546
£9 9s 6d";Southampton; ;Dead;F
AKERMAN, Mr Albert Edward;31;Victualling Crew;;Southampton;3rd Class Steward  ;Dead;M
AKERMAN, Mr Joseph Francis;37;Victualling Crew;;Southampton;Assistant Pantryman Steward  ;Dead;M
AKS, Master Frank Philip;46;3rd Class Passenger;"392091
£9 7s";Southampton; ;Survivor;M
AKS, Mrs Leah;18;3rd Class Passenger;"392091
£9 7s";Southampton; ;Survivor;F
AL-MUNÃ , Mr FarÄd Husayn QÄsim;19;3rd Class Passenger;"2700
£7 4s 7d";Cherbourg;Farmer  ;Survivor;M
ALDWORTH, Mr Augustus Henry;35;"2nd Class Passenger
Servant";"248744
£13";Southampton;Chauffeur  ;Dead;M
ALEXANDER, Mr William Albert;25;3rd Class Passenger;"3474
£7 17s 9d";Southampton;General Labourer  ;Dead;M
ALHOMÃKI, Mr Ilmari Rudolf;19;3rd Class Passenger;"3101287
£7 18s 6d";Southampton;General Labourer  ;Dead;M
ALI, Mr Ahmed;24;3rd Class Passenger;"3101311
£7 1s";Southampton;General Labourer  ;Dead;M
ALI, Mr William;25;3rd Class Passenger;"3101312
£7 1s";Southampton;General Labourer  ;Dead;M
ALLARIA, Sig. Battista Antonio;22;Restaurant Staff;;Southampton;Assistant Waiter  ;Dead;M
ALLEN, Miss Elisabeth Walton;29;1st Class Passenger;"24160
£211 60s 9d";Southampton; ;Survivor;F
ALLEN, Mr Ernest Frederick;24;Engineering Crew;;Southampton;Trimmer  ;Survivor;M
ALLEN, Mr Frederick;17;Victualling Crew;;Southampton;Lift Steward  ;Dead;M
ALLEN, Mr George;26;Victualling Crew;;Southampton;Scullion  ;Dead;M
ALLEN, Mr Henry;30;Engineering Crew;;Southampton;Fireman  ;Dead;M
ALLEN, Mr Robert Spencer;36;Victualling Crew;;Southampton;Bedroom Steward (1st Class)  ;Dead;M
ALLEN, Mr William Henry;39;3rd Class Passenger;"373450
£8 1s";Southampton;Tool Maker  ;Dead;M
ALLISON, Master Hudson Trevor;19;1st Class Passenger;"113781
£151 16s";Southampton; ;Survivor;M
ALLISON, Miss Helen Loraine;2;1st Class Passenger;"113781
£151 16s";Southampton; ;Dead;F
ALLISON, Mr Hudson Joshua Creighton;30;1st Class Passenger;"113781
£151 16s";Southampton;Businessman  ;Dead;M
ALLISON, Mrs Bessie Waldo;25;1st Class Passenger;"113781
£151 16s";Southampton; ;Dead;F
ALLSOP, Mr Alfred Samuel;36;Engineering Crew;;Belfast;2nd Electrician  ;Dead;M
ALLSOP, Mr Frank Richard;41;Victualling Crew;;Belfast;Saloon Steward  ;Dead;M
ALLUM, Mr Owen George;18;3rd Class Passenger;"2223
£8 6s";Southampton;Gardener  ;Dead;M
ANDERSEN, Mr Albert Kaurin;33;3rd Class Passenger;"4001
£22 10s 6d";Southampton;Engineer  ;Dead;M
ANDERSEN-JENSEN, Miss Carla Christine Nielsine;19;3rd Class Passenger;"350046
£7 17s 1d";Southampton; ;Survivor;F
ANDERSON, Mr Henry;42;1st Class Passenger;"19952
£26 11s";Southampton;Stockbroker  ;Survivor;M
ANDERSON, Mr James;40;Deck Crew;;Southampton;Able Seaman  ;Survivor;M
ANDERSON, Mr Walter Yuill;48;Victualling Crew;;Southampton;Bed Room Steward  ;Dead;M
ANDERSSON, Master Sigvard Harald Elias;4;3rd Class Passenger;"347082
£31 5s 6d";Southampton; ;Dead;M
ANDERSSON, Miss Ebba Iris Alfrida;6;3rd Class Passenger;"347082
£31 5s 6d";Southampton; ;Dead;F
ANDERSSON, Miss Ellis Anna Maria;2;3rd Class Passenger;"347082
£31 5s 6d";Southampton; ;Dead;F
ANDERSSON, Miss Erna Alexandra;16;3rd Class Passenger;"3101281
£7 18s 6d";Southampton; ;Survivor;F
ANDERSSON, Miss Ida Augusta Margareta;38;3rd Class Passenger;"347091
£7 15s 6d";Southampton; ;Dead;F
ANDERSSON, Miss Ingeborg Constanzia;9;3rd Class Passenger;"347082
£31 5s 6d";Southampton; ;Dead;F
ANDERSSON, Miss Sigrid Elisabeth;11;3rd Class Passenger;"347082
£31 5s 6d";Southampton; ;Dead;F
ANDERSSON, Mr Anders Johan;39;3rd Class Passenger;"347082
£31 5s 6d";Southampton;General Labourer  ;Dead;M
ANDERSSON, Mr Johan Samuel;26;3rd Class Passenger;"347075
£7 15s 6d";Southampton;General Labourer  ;Dead;M
ANDERSSON, Mrs Alfrida Konstantia Brogren;39;3rd Class Passenger;"347082
£31 5s 6d";Southampton; ;Dead;F
ANDREASSON, Mr Pāl Edvin;20;3rd Class Passenger;"347466
£7 17s 1d";Southampton;General Labourer  ;Dead;M
ANDREW, Mr Edgar Samuel;17;2nd Class Passenger;"231945
£11 10s";Southampton; ;Dead;M
ANDREW, Mr Frank Thomas;27;2nd Class Passenger;"34050
£10 10s";Southampton;Miner  ;Dead;M
ANDREWS, Miss Kornelia Theodosia;62;1st Class Passenger;"13502
£77 19s 2d";Cherbourg; ;Survivor;F
ANDREWS, Mr Archibald;38;Engineering Crew;;Belfast;Fireman  ;Survivor;M
ANDREWS, Mr Charles Edward;19;Victualling Crew;;Southampton;Saloon Steward (2nd class)  ;Survivor;M
